ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,624,0,0,success
hugo,10,2,419,0,0,success
hugo,10,3,409,0,0,success
hugo,100,1,1044,0,0,success
hugo,100,2,1147,0,0,success
hugo,100,3,1155,0,0,success
hugo,1000,1,10050,0,0,success
hugo,1000,2,7967,0,0,success
hugo,1000,3,8252,0,0,success
hugo,5000,1,36014,0,0,success
hugo,5000,2,40212,0,0,success
hugo,5000,3,39152,0,0,success
zola,10,1,2532,0,0,success
zola,10,2,306,0,0,success
zola,10,3,350,0,0,success
zola,100,1,599,0,0,success
zola,100,2,777,0,0,success
zola,100,3,730,0,0,success
zola,1000,1,4408,0,0,success
zola,1000,2,4366,0,0,success
zola,1000,3,4305,0,0,success
zola,5000,1,19676,0,0,success
zola,5000,2,20568,0,0,success
zola,5000,3,21203,0,0,success
jekyll,10,1,1109,0,0,success
jekyll,10,2,667,0,0,success
jekyll,10,3,803,0,0,success
jekyll,100,1,2085,0,0,success
jekyll,100,2,1959,0,0,success
jekyll,100,3,1800,0,0,success
jekyll,1000,1,11186,0,0,success
jekyll,1000,2,10659,0,0,success
jekyll,1000,3,9283,0,0,success
jekyll,5000,1,53895,0,0,success
jekyll,5000,2,46755,0,0,success
jekyll,5000,3,42812,0,0,success
hwaro,10,1,536,0,0,success
hwaro,10,2,297,0,0,success
hwaro,10,3,306,0,0,success
hwaro,100,1,855,0,0,success
hwaro,100,2,795,0,0,success
hwaro,100,3,869,0,0,success
hwaro,1000,1,7005,0,0,success
hwaro,1000,2,10179,0,0,success
hwaro,1000,3,7968,0,0,success
hwaro,5000,1,29701,0,0,success
hwaro,5000,2,36892,0,0,success
hwaro,5000,3,36735,0,0,success
eleventy,10,1,1532,0,0,success
eleventy,10,2,720,0,0,success
eleventy,10,3,748,0,0,success
eleventy,100,1,1406,0,0,success
eleventy,100,2,1384,0,0,success
eleventy,100,3,1373,0,0,success
eleventy,1000,1,10311,0,0,success
eleventy,1000,2,10081,0,0,success
eleventy,1000,3,9210,0,0,success
eleventy,5000,1,46261,0,0,success
eleventy,5000,2,45216,0,0,success
eleventy,5000,3,44184,0,0,success
pelican,10,1,1201,0,0,success
pelican,10,2,645,0,0,success
pelican,10,3,709,0,0,success
pelican,100,1,1300,0,0,success
pelican,100,2,1334,0,0,success
pelican,100,3,1305,0,0,success
pelican,1000,1,7841,0,0,success
pelican,1000,2,7371,0,0,success
pelican,1000,3,7284,0,0,success
pelican,5000,1,33094,0,0,success
pelican,5000,2,30637,0,0,success
pelican,5000,3,37222,0,0,success
hexo,10,1,2282,0,0,success
hexo,10,2,2084,0,0,success
hexo,10,3,2247,0,0,success
hexo,100,1,2842,0,0,success
hexo,100,2,2906,0,0,success
hexo,100,3,2703,0,0,success
hexo,1000,1,8692,0,0,success
hexo,1000,2,6357,0,0,success
hexo,1000,3,6239,0,0,success
hexo,5000,1,73604,0,0,success
hexo,5000,2,39406,0,0,success
hexo,5000,3,39311,0,0,success
gatsby,10,1,113195,0,0,success
gatsby,10,2,113512,0,0,success
gatsby,10,3,108666,0,0,success
gatsby,100,1,114575,0,0,success
gatsby,100,2,112827,0,0,success
gatsby,100,3,105681,0,0,success
gatsby,1000,1,135868,0,0,success
gatsby,1000,2,130875,0,0,success
gatsby,1000,3,119504,0,0,success
gatsby,5000,1,198698,0,0,success
gatsby,5000,2,174742,0,0,success
gatsby,5000,3,199249,0,0,success
astro,10,1,7158,0,0,failed
astro,10,2,6287,0,0,failed
astro,10,3,5908,0,0,failed
astro,100,1,6610,0,0,failed
astro,100,2,6147,0,0,failed
astro,100,3,5979,0,0,failed
astro,1000,1,7610,0,0,failed
astro,1000,2,6813,0,0,failed
astro,1000,3,6495,0,0,failed
astro,5000,1,6762,0,0,failed
astro,5000,2,6161,0,0,failed
astro,5000,3,6140,0,0,failed
docusaurus,10,1,11788,0,0,failed
docusaurus,10,2,10005,0,0,failed
docusaurus,10,3,11030,0,0,failed
docusaurus,100,1,10934,0,0,failed
docusaurus,100,2,9020,0,0,failed
docusaurus,100,3,9601,0,0,failed
docusaurus,1000,1,12587,0,0,failed
docusaurus,1000,2,11078,0,0,failed
docusaurus,1000,3,11414,0,0,failed
docusaurus,5000,1,10646,0,0,failed
docusaurus,5000,2,10270,0,0,failed
docusaurus,5000,3,10004,0,0,failed
