ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status
hugo,minimal,1000,1,469,94864,1002,success
hugo,minimal,1000,2,455,94572,1002,success
hugo,minimal,1000,3,456,97200,1002,success
zola,minimal,1000,1,421,73232,1003,success
zola,minimal,1000,2,421,74032,1003,success
zola,minimal,1000,3,420,74032,1003,success
jekyll,minimal,1000,1,1576,77940,1002,success
jekyll,minimal,1000,2,1603,77872,1002,success
jekyll,minimal,1000,3,1748,77568,1002,success
hwaro,minimal,1000,1,443,55792,1002,success
hwaro,minimal,1000,2,440,55560,1002,success
hwaro,minimal,1000,3,450,55252,1002,success
eleventy,minimal,1000,1,1206,159812,1002,success
eleventy,minimal,1000,2,1210,151820,1002,success
eleventy,minimal,1000,3,1199,156916,1002,success
pelican,minimal,1000,1,1226,45280,1001,success
pelican,minimal,1000,2,1252,45280,1001,success
pelican,minimal,1000,3,1207,44476,1001,success
hexo,minimal,1000,1,1367,196208,1002,success
hexo,minimal,1000,2,1356,194824,1002,success
hexo,minimal,1000,3,1355,189472,1002,success
gatsby,minimal,1000,1,27437,2710312,1002,success
gatsby,minimal,1000,2,27951,2697452,1002,success
gatsby,minimal,1000,3,26875,2622208,1002,success
astro,minimal,1000,1,7610,773832,1001,success
astro,minimal,1000,2,7662,772828,1001,success
astro,minimal,1000,3,7622,740300,1001,success
docusaurus,minimal,1000,1,36199,2644640,1103,success
docusaurus,minimal,1000,2,36973,2770104,1103,success
docusaurus,minimal,1000,3,36011,2837320,1103,success
hugo,blog,1000,1,1079,175004,1113,success
hugo,blog,1000,2,1110,169284,1113,success
hugo,blog,1000,3,1168,178896,1113,success
zola,blog,1000,1,1195,216852,1114,success
zola,blog,1000,2,957,217116,1114,success
zola,blog,1000,3,925,216944,1114,success
jekyll,blog,1000,1,2991,103988,1111,success
jekyll,blog,1000,2,2829,105412,1111,success
jekyll,blog,1000,3,2897,104868,1111,success
hwaro,blog,1000,1,619,72564,1112,success
hwaro,blog,1000,2,587,74448,1112,success
hwaro,blog,1000,3,591,72984,1112,success
eleventy,blog,1000,1,1554,188492,1111,success
eleventy,blog,1000,2,1568,187220,1111,success
eleventy,blog,1000,3,1540,186224,1111,success
pelican,blog,1000,1,2626,52556,1110,success
pelican,blog,1000,2,2620,53104,1110,success
pelican,blog,1000,3,2586,52916,1110,success
hexo,blog,1000,1,2185,327952,1111,success
hexo,blog,1000,2,2183,325868,1111,success
hexo,blog,1000,3,2131,328100,1111,success
hugo,heavy,1000,1,1341,179480,1113,success
hugo,heavy,1000,2,1334,192404,1113,success
hugo,heavy,1000,3,1207,177332,1113,success
zola,heavy,1000,1,28104,1111324,1114,success
zola,heavy,1000,2,28206,1111140,1114,success
zola,heavy,1000,3,28344,1111512,1114,success
jekyll,heavy,1000,1,3124,106828,1111,success
jekyll,heavy,1000,2,3088,106936,1111,success
jekyll,heavy,1000,3,3150,107052,1111,success
hwaro,heavy,1000,1,1490,73572,1112,success
hwaro,heavy,1000,2,1537,73568,1112,success
hwaro,heavy,1000,3,1503,73912,1112,success
eleventy,heavy,1000,1,2167,201348,1111,success
eleventy,heavy,1000,2,2149,203140,1111,success
eleventy,heavy,1000,3,2146,198560,1111,success
pelican,heavy,1000,1,2703,53052,1110,success
pelican,heavy,1000,2,2760,53156,1110,success
pelican,heavy,1000,3,2679,52768,1110,success
hexo,heavy,1000,1,2905,360428,1111,success
hexo,heavy,1000,2,3014,364480,1111,success
hexo,heavy,1000,3,2948,357600,1111,success
