ssg,scenario,page_count,iteration,build_time_ms,peak_memory_kb,output_files,status,post_files
hugo,minimal,10,1,41,17076,12,success,10
zola,minimal,10,1,18,15308,13,success,10
jekyll,minimal,10,1,502,36840,12,success,10
hwaro,minimal,10,1,33,14036,12,success,10
eleventy,minimal,10,1,428,59092,12,success,10
pelican,minimal,10,1,309,31340,11,success,10
hexo,minimal,10,1,405,42932,12,success,10
zola,minimal,10,2,18,15048,13,success,10
jekyll,minimal,10,2,500,37244,12,success,10
hwaro,minimal,10,2,23,13988,12,success,10
eleventy,minimal,10,2,439,54296,12,success,10
pelican,minimal,10,2,306,31164,11,success,10
hexo,minimal,10,2,408,42892,12,success,10
hugo,minimal,10,2,40,15092,12,success,10
jekyll,minimal,10,3,523,36644,12,success,10
hwaro,minimal,10,3,24,13284,12,success,10
eleventy,minimal,10,3,445,54208,12,success,10
pelican,minimal,10,3,310,30840,11,success,10
hexo,minimal,10,3,404,42588,12,success,10
hugo,minimal,10,3,40,15352,12,success,10
zola,minimal,10,3,18,15280,13,success,10
hugo,minimal,100,1,71,24404,102,success,100
zola,minimal,100,1,45,20188,103,success,100
jekyll,minimal,100,1,565,40384,102,success,100
hwaro,minimal,100,1,46,21940,102,success,100
eleventy,minimal,100,1,559,69500,102,success,100
pelican,minimal,100,1,517,32128,101,success,100
hexo,minimal,100,1,642,70428,102,success,100
zola,minimal,100,2,44,20104,103,success,100
jekyll,minimal,100,2,570,40100,102,success,100
hwaro,minimal,100,2,46,21492,102,success,100
eleventy,minimal,100,2,545,67820,102,success,100
pelican,minimal,100,2,515,32120,101,success,100
hexo,minimal,100,2,639,71360,102,success,100
hugo,minimal,100,2,65,24140,102,success,100
jekyll,minimal,100,3,576,39988,102,success,100
hwaro,minimal,100,3,46,22188,102,success,100
eleventy,minimal,100,3,551,67288,102,success,100
pelican,minimal,100,3,519,32152,101,success,100
hexo,minimal,100,3,641,74644,102,success,100
hugo,minimal,100,3,67,24064,102,success,100
zola,minimal,100,3,44,20176,103,success,100
hugo,minimal,1000,1,339,80892,1002,success,1000
zola,minimal,1000,1,324,75844,1003,success,1000
jekyll,minimal,1000,1,1193,64456,1002,success,1000
hwaro,minimal,1000,1,341,53404,1002,success,1000
eleventy,minimal,1000,1,1479,147564,1002,success,1000
pelican,minimal,1000,1,2627,40772,1001,success,1000
hexo,minimal,1000,1,2434,213484,1002,success,1000
zola,minimal,1000,2,318,71980,1003,success,1000
jekyll,minimal,1000,2,1229,63952,1002,success,1000
hwaro,minimal,1000,2,345,53164,1002,success,1000
eleventy,minimal,1000,2,1497,148712,1002,success,1000
pelican,minimal,1000,2,2667,40460,1001,success,1000
hexo,minimal,1000,2,2468,209032,1002,success,1000
hugo,minimal,1000,2,334,90048,1002,success,1000
jekyll,minimal,1000,3,1246,64052,1002,success,1000
hwaro,minimal,1000,3,345,53732,1002,success,1000
eleventy,minimal,1000,3,1469,149032,1002,success,1000
pelican,minimal,1000,3,2664,40584,1001,success,1000
hexo,minimal,1000,3,2484,214616,1002,success,1000
hugo,minimal,1000,3,340,82996,1002,success,1000
zola,minimal,1000,3,322,71740,1003,success,1000
hugo,blog,10,1,75,26124,24,success,10
zola,blog,10,1,310,136884,25,success,10
jekyll,blog,10,1,593,40408,22,success,10
hwaro,blog,10,1,37,17396,23,success,10
eleventy,blog,10,1,516,58124,22,success,10
pelican,blog,10,1,445,33392,21,success,10
hexo,blog,10,1,615,66948,22,success,10
zola,blog,10,2,370,137152,25,success,10
jekyll,blog,10,2,587,40144,22,success,10
hwaro,blog,10,2,37,18440,23,success,10
eleventy,blog,10,2,529,58384,22,success,10
pelican,blog,10,2,436,32936,21,success,10
hexo,blog,10,2,618,67884,22,success,10
hugo,blog,10,2,68,23684,24,success,10
jekyll,blog,10,3,579,40816,22,success,10
hwaro,blog,10,3,37,18408,23,success,10
eleventy,blog,10,3,526,60996,22,success,10
pelican,blog,10,3,438,32872,21,success,10
hexo,blog,10,3,624,66524,22,success,10
hugo,blog,10,3,67,23560,24,success,10
zola,blog,10,3,308,137120,25,success,10
hugo,blog,100,1,233,42260,123,success,100
zola,blog,100,1,478,143788,124,success,100
jekyll,blog,100,1,686,45520,121,success,100
hwaro,blog,100,1,95,32580,122,success,100
eleventy,blog,100,1,715,91912,121,success,100
pelican,blog,100,1,1019,35448,120,success,100
hexo,blog,100,1,958,106664,121,success,100
zola,blog,100,2,432,144056,124,success,100
jekyll,blog,100,2,658,45272,121,success,100
hwaro,blog,100,2,70,30676,122,success,100
eleventy,blog,100,2,697,87080,121,success,100
pelican,blog,100,2,996,35444,120,success,100
hexo,blog,100,2,959,106216,121,success,100
hugo,blog,100,2,253,40952,123,success,100
jekyll,blog,100,3,673,45268,121,success,100
hwaro,blog,100,3,93,30444,122,success,100
eleventy,blog,100,3,704,88512,121,success,100
pelican,blog,100,3,997,35300,120,success,100
hexo,blog,100,3,974,106068,121,success,100
hugo,blog,100,3,241,41052,123,success,100
zola,blog,100,3,434,143628,124,success,100
hugo,blog,1000,1,1922,159000,1113,success,1000
zola,blog,1000,1,1803,219568,1114,success,1000
jekyll,blog,1000,1,1530,83436,1111,success,1000
hwaro,blog,1000,1,630,78076,1112,success,1000
eleventy,blog,1000,1,2162,175812,1111,success,1000
pelican,blog,1000,1,6617,57976,1110,success,1000
hexo,blog,1000,1,3954,372676,1111,success,1000
zola,blog,1000,2,1625,215352,1114,success,1000
jekyll,blog,1000,2,1553,83732,1111,success,1000
hwaro,blog,1000,2,628,78548,1112,success,1000
eleventy,blog,1000,2,2146,182056,1111,success,1000
pelican,blog,1000,2,6490,57756,1110,success,1000
hexo,blog,1000,2,3982,395120,1111,success,1000
hugo,blog,1000,2,1816,161384,1113,success,1000
jekyll,blog,1000,3,1458,83372,1111,success,1000
hwaro,blog,1000,3,606,77792,1112,success,1000
eleventy,blog,1000,3,2099,175028,1111,success,1000
pelican,blog,1000,3,6338,57788,1110,success,1000
hexo,blog,1000,3,3927,383328,1111,success,1000
hugo,blog,1000,3,1838,157212,1113,success,1000
zola,blog,1000,3,1654,215644,1114,success,1000
hugo,heavy,10,1,82,24456,24,success,10
zola,heavy,10,1,336,143336,25,success,10
jekyll,heavy,10,1,570,40120,22,success,10
hwaro,heavy,10,1,37,21748,23,success,10
eleventy,heavy,10,1,499,60664,22,success,10
pelican,heavy,10,1,432,33400,21,success,10
hexo,heavy,10,1,612,68020,22,success,10
zola,heavy,10,2,326,143152,25,success,10
jekyll,heavy,10,2,557,40128,22,success,10
hwaro,heavy,10,2,36,23272,23,success,10
eleventy,heavy,10,2,513,68496,22,success,10
pelican,heavy,10,2,432,33068,21,success,10
hexo,heavy,10,2,602,70220,22,success,10
hugo,heavy,10,2,70,26096,24,success,10
jekyll,heavy,10,3,557,40136,22,success,10
hwaro,heavy,10,3,40,20400,23,success,10
eleventy,heavy,10,3,519,63940,22,success,10
pelican,heavy,10,3,434,33100,21,success,10
hexo,heavy,10,3,606,70036,22,success,10
hugo,heavy,10,3,74,25872,24,success,10
zola,heavy,10,3,340,143272,25,success,10
hugo,heavy,100,1,255,41308,123,success,100
